julian_date,date_time,eccentricity,semi_major_axis,inclination,ascending_node,arg_perihelion,mean_anomaly,aphelion,perihelion,orbital_period,mean_motion,date
2460341.5,A.D. 2024-Feb-01 00:00:00.0000,0.04744182431388484,5.186678655436561,1.30361081576623,100.4986115792825,271.9314134631028,32.80986887142382,5.432744152980359,4.940613157892764,4317.800612034544,0.08337578140977848,2024-02-01
2460342.5,A.D. 2024-Feb-02 00:00:00.0000,0.04752004306449976,5.187404367314475,1.303503873659509,100.5046464862055,272.0780480225771,32.74719275235434,5.433910046242232,4.940898688386717,4318.706853486182,0.08335828575847834,2024-02-02
2460343.5,A.D. 2024-Feb-03 00:00:00.0000,0.04765731981604218,5.187667306500135,1.303841466639046,100.4856421319145,271.9493275028792,32.95832329337986,5.434897626425238,4.940436986575031,4319.035217607931,0.08335194826204347,2024-02-03
2460344.5,A.D. 2024-Feb-04 00:00:00.0000,0.04771151017552286,5.188530397344031,1.303568910271979,100.5009354716102,272.1865968153604,32.80487595034619,5.436083018192919,4.940977776495141,4320.113122543261,0.08333115124264781,2024-02-04
2460345.5,A.D. 2024-Feb-05 00:00:00.0000,0.04785463128240819,5.189472080417146,1.303554107387456,100.5017548513173,272.3049649041636,32.76902376799035,5.437812353375859,4.941131807458432,4321.289282747872,0.08330847033019714,2024-02-05
2460346.5,A.D. 2024-Feb-06 00:00:00.0000,0.04751467930882662,5.187630966635624,1.303358549886034,100.5126810530603,272.1720488231759,32.98668141809161,5.434119588387853,4.941142344883397,4318.989835106372,0.08335282409645531,2024-02-06
2460347.5,A.D. 2024-Feb-07 00:00:00.0000,0.04767659543746111,5.18853548902346,1.30343316664428,100.5085157577239,272.2459310052665,32.99526663113705,5.435907196446542,4.941163781600379,4320.119481753336,0.0833310285793051,2024-02-07
2460348.5,A.D. 2024-Feb-08 00:00:00.0000,0.04749072244983353,5.18718222941366,1.303489870038438,100.5053871652449,272.0403916958887,33.28338874994943,5.433525260967452,4.940839197859868,4318.429449373386,0.08336364046707694,2024-02-08
2460349.5,A.D. 2024-Feb-09 00:00:00.0000,0.04757057892868244,5.187903815868308,1.303392138081543,100.510776892998,272.1816654899807,33.22602679314716,5.434695403815485,4.941112227921129,4319.330582713083,0.08334624847674306,2024-02-09
2460350.5,A.D. 2024-Feb-10 00:00:00.0000,0.04759084775513148,5.187435435535924,1.303714874869697,100.4930147098995,271.9728274711611,33.51756904516727,5.434309885588088,4.940560985483761,4318.745651717138,0.08335753689427476,2024-02-10
2460351.5,A.D. 2024-Feb-11 00:00:00.0000,0.04767024161633046,5.188411839980661,1.303473661461733,100.5062465465389,272.2092996719132,33.36493600601231,5.435744685997568,4.941078993963755,4319.965052206516,0.0833340074860379,2024-02-11
2460352.5,A.D. 2024-Feb-12 00:00:00.0000,0.04776885811147664,5.188953859901636,1.303514873899808,100.503986253753,272.2507204127815,33.40570741813206,5.436824260582276,4.941083459220995,4320.642013193853,0.08332095065980369,2024-02-12
2460353.5,A.D. 2024-Feb-13 00:00:00.0000,0.04744115675145347,5.18725022235727,1.303284538770604,100.5165646000313,272.1463830097651,33.59507736317186,5.433339373265133,4.941161071449407,4318.514357810926,0.08336200141348737,2024-02-13
2460354.5,A.D. 2024-Feb-14 00:00:00.0000,0.04759310947134793,5.187901894986166,1.303455980918115,100.5072280618754,272.1429484205297,33.68038417007116,5.434810277800855,4.940993512171477,4319.328183789209,0.08334629476665127,2024-02-14
2460355.5,A.D. 2024-Feb-15 00:00:00.0000,0.04740178390949393,5.186526297893613,1.303498006670702,100.5049652214602,271.9378151906133,33.9680795417005,5.432376896707274,4.940675699079952,4317.610361768964,0.08337945526249496,2024-02-15
2460356.5,A.D. 2024-Feb-16 00:00:00.0000,0.0475507134798471,5.187538073949487,1.303480526993271,100.5058969148307,272.0747012358894,33.91419706638749,5.434209210569656,4.940866937329316,4318.873828173615,0.08335506299155732,2024-02-16
2460357.5,A.D. 2024-Feb-17 00:00:00.0000,0.04754248146018448,5.186872609643756,1.303803142596014,100.4885446938708,271.8419240807175,34.22953154705939,5.433469404524083,4.940275814763428,4318.042808480251,0.08337110491192724,2024-02-17
2460358.5,A.D. 2024-Feb-18 00:00:00.0000,0.04772886563750997,5.188461427662261,1.303612498581921,100.498761509962,272.1314641391795,34.02331318913448,5.436100806008556,4.940822049315966,4320.026983748376,0.0833328128167471,2024-02-18
2460359.5,A.D. 2024-Feb-19 00:00:00.0000,0.04784372295129568,5.189079241573624,1.303668706689525,100.4957536598808,272.1755745197178,34.06109121524857,5.437344111179791,4.940814371967457,4320.798614873142,0.08331793080121822,2024-02-19
2460360.5,A.D. 2024-Feb-20 00:00:00.0000,0.04759088217244219,5.188020437524286,1.303356897697199,100.5123893772326,272.1874804395395,34.1346226415118,5.434922906874726,4.941117968173845,4319.47622833433,0.08334343817857348,2024-02-20
2460361.5,A.D. 2024-Feb-21 00:00:00.0000,0.04773328954824547,5.188596262395336,1.303538920999955,100.5027018997869,272.1732168632627,34.23074674864467,5.436265030137196,4.940927494653477,4320.195384384389,0.08332956451489254,2024-02-21
2460362.5,A.D. 2024-Feb-22 00:00:00.0000,0.04753351815250309,5.187366654193896,1.303477787880387,100.5059544420527,272.0362878485905,34.45099138296669,5.433940441214713,4.94079286717308,4318.659757210836,0.08335919480549736,2024-02-22
2460363.5,A.D. 2024-Feb-23 00:00:00.0000,0.04769406276040749,5.188450855834004,1.303464565830336,100.5066393501093,272.1809558839416,34.38918825826714,5.43590915658144,4.940992555086569,4320.01378025037,0.08333306751145035,2024-02-23
